year,nerc,month,final co2 (kg),generation (mwh),index,datetime
2001,ASCC,1,278021574.65,510124.027,545.0078018967728,2001-01-01
2001,ASCC,2,269439904.61,457691.568,588.6931799669948,2001-02-01
2001,ASCC,3,294444701.8399999,493876.65900000004,596.190762357935,2001-03-01
2001,ASCC,4,235753312.68000007,417279.658,564.9767683619029,2001-04-01
2001,ASCC,5,230659386.5899999,409477.10799999995,563.3022752275566,2001-05-01
2001,ASCC,6,214880816.42999998,394688.00700000004,544.4320896986362,2001-06-01
2001,ASCC,7,234338335.84999993,425517.163,550.714180828471,2001-07-01
2001,ASCC,8,257925534.86,438434.567,588.2874076851701,2001-08-01
2001,ASCC,9,244604254.19000003,508217.9150000001,481.29797665633254,2001-09-01
2001,ASCC,10,256219883.6299999,465576.42,550.3283083580562,2001-10-01
2001,ASCC,11,269185381.31999993,472622.8140000001,569.556469442882,2001-11-01
2001,ASCC,12,285160028.87,533866.978,534.1406017249489,2001-12-01
2001,FRCC,1,10569697996.438877,16083950.663,657.1580712911365,2001-01-01
2001,FRCC,2,7954444064.415205,12202575.96,651.8659740771001,2001-02-01
2001,FRCC,3,8291107929.1139345,13416148.968000002,617.9946234116632,2001-03-01
2001,FRCC,4,9053689521.99053,14098825.865,642.1591137220936,2001-04-01
2001,FRCC,5,10133862293.530731,15043944.992999999,673.6173455995787,2001-05-01
2001,FRCC,6,11132715367.169981,17149465.164,649.1581667829312,2001-06-01
2001,FRCC,7,11767431476.486828,17458563.783,674.0205908543965,2001-07-01
2001,FRCC,8,12588521712.259295,18837835.283,668.2573407794721,2001-08-01
2001,FRCC,9,10284552005.668102,16545526.571,621.5910966347994,2001-09-01
2001,FRCC,10,10013371307.004097,14902385.044000002,671.9307867458223,2001-10-01
2001,FRCC,11,7639860351.096155,12870963.587000001,593.5733015990044,2001-11-01
2001,FRCC,12,8565003153.299217,13549495.564,632.127086417578,2001-12-01
2001,HICC,1,725072044.7901998,915857.408,791.6866080425914,2001-01-01
2001,HICC,2,626256266.9843,790168.305,792.5606013573273,2001-02-01
2001,HICC,3,694173640.9858,854549.5700000001,812.3269443407478,2001-03-01
2001,HICC,4,632883190.2400999,814390.496,777.1249705744355,2001-04-01
2001,HICC,5,684094860.5865,866499.9870000001,789.4920609923794,2001-05-01
2001,HICC,6,680619139.1507,853812.2409999999,797.1531754493785,2001-06-01
2001,HICC,7,729692312.2451,917785.106,795.0579144014787,2001-07-01
2001,HICC,8,745338041.0336001,937608.5290000001,794.9352186765358,2001-08-01
2001,HICC,9,714137805.8864001,880724.8960000001,810.8522980669778,2001-09-01
2001,HICC,10,704641439.3931999,895094.2350000002,787.2259834107855,2001-10-01
2001,HICC,11,674337927.9642001,848303.008,794.925777233835,2001-11-01
2001,HICC,12,682832078.4492999,856768.2479999999,796.9857426944468,2001-12-01
2001,MRO,1,14691425100.70433,17368376.657000005,845.8720921844599,2001-01-01
2001,MRO,2,12874422290.15173,15062468.246999998,854.7352319043684,2001-02-01
2001,MRO,3,13712019407.499811,15368064.025,892.2411687766124,2001-03-01
2001,MRO,4,11702267613.674456,14011704.040000001,835.1780468861841,2001-04-01
2001,MRO,5,11997542954.226746,14196353.670999998,845.1144027733731,2001-05-01
2001,MRO,6,13235645957.331333,15740981.100000001,840.8399624678624,2001-06-01
2001,MRO,7,15303379910.812256,17983552.959999997,850.9653206377444,2001-07-01
2001,MRO,8,15653979166.845354,17937702.646,872.6858436543487,2001-08-01
2001,MRO,9,12712126828.285791,15334307.522,828.9990800072198,2001-09-01
2001,MRO,10,12994696983.382975,15656240.044000002,830.0011335328868,2001-10-01
2001,MRO,11,13113917793.520279,14785173.726999998,886.9640651954093,2001-11-01
2001,MRO,12,14208969089.262674,16403223.343999999,866.2303006719748,2001-12-01
2001,NPCC,1,10789633217.68623,22402381.626000006,481.62884633497526,2001-01-01
2001,NPCC,2,8825658178.719618,19876390.505,444.0272078826124,2001-02-01
2001,NPCC,3,9656755525.067423,21331872.012,452.6914243454642,2001-03-01
2001,NPCC,4,7296442520.120411,18822299.564999998,387.6488361543305,2001-04-01
2001,NPCC,5,7949510919.399547,19517549.325999998,407.3006701107567,2001-05-01
2001,NPCC,6,9361636709.746181,22952967.838999998,407.8617098848357,2001-06-01
2001,NPCC,7,9694610825.120413,23171519.153000005,418.3847749086946,2001-07-01
2001,NPCC,8,11808808538.940428,26054025.372,453.24315035139387,2001-08-01
2001,NPCC,9,8083043292.517094,21424271.566000003,377.28439296600226,2001-09-01
2001,NPCC,10,8084842157.059901,21166149.094000004,381.97038682637464,2001-10-01
2001,NPCC,11,7289886145.36769,19747394.418000005,369.1568614603081,2001-11-01
2001,NPCC,12,8144021345.894146,21566950.292,377.6158073176935,2001-12-01
2001,RFC,1,58344471638.0265,86487855.38,674.5972759028367,2001-01-01
2001,RFC,2,50549250361.36193,74230308.62300001,680.9785827254316,2001-02-01
2001,RFC,3,53109484999.16121,78945881.109,672.7328171286522,2001-03-01
2001,RFC,4,47351438337.41261,69095293.47200002,685.3062771431918,2001-04-01
2001,RFC,5,49012442903.93102,72993839.863,671.4599888966115,2001-05-01
2001,RFC,6,53950513325.62827,79593271.22999999,677.8275662238826,2001-06-01
2001,RFC,7,60055797277.34536,86175240.47199999,696.9031585918076,2001-07-01
2001,RFC,8,63366810210.86997,90461826.49,700.4812158847443,2001-08-01
2001,RFC,9,50287023203.17085,72318134.39599998,695.3584135316453,2001-09-01
2001,RFC,10,47894323708.58319,72484300.813,660.7544416016963,2001-10-01
2001,RFC,11,45548708236.81246,70423570.85299999,646.7821453116804,2001-11-01
2001,RFC,12,48983544865.60336,76483459.25100002,640.4462526315833,2001-12-01
2001,SERC,1,58716281392.78984,88949056.59599997,660.1113450755846,2001-01-01
2001,SERC,2,46821153286.41856,73957173.252,633.0846789787546,2001-02-01
2001,SERC,3,49488580615.06465,78870593.38999996,627.4655544982794,2001-03-01
2001,SERC,4,47177250026.50718,74000822.67999999,637.5233182273479,2001-04-01
2001,SERC,5,51262532973.42588,80255535.70199998,638.7413967775485,2001-05-01
2001,SERC,6,56158370102.25157,88589518.99799997,633.916638643443,2001-06-01
2001,SERC,7,62990439000.0156,97614034.52700002,645.3010502561746,2001-07-01
2001,SERC,8,65198224863.107994,101189674.44999999,644.3169742118683,2001-08-01
2001,SERC,9,52907664850.98198,83706301.59700003,632.0631044685666,2001-09-01
2001,SERC,10,48414901807.96191,78932492.109,613.3710024143729,2001-10-01
2001,SERC,11,45291744797.65887,73450273.13999999,616.6314005576328,2001-11-01
2001,SERC,12,50042335949.837555,82311855.93099998,607.9602431973691,2001-12-01
2001,SPP,1,13968922879.924732,15573080.645999998,896.9916227533761,2001-01-01
2001,SPP,2,10978170535.00177,13031835.949000001,842.4116584926916,2001-02-01
2001,SPP,3,10826041530.523754,13159781.233000001,822.661208331939,2001-03-01
2001,SPP,4,10904557574.532505,13052440.151,835.4420666466003,2001-04-01
2001,SPP,5,12933378628.910051,15080964.195999999,857.5962690993217,2001-05-01
2001,SPP,6,14167660753.423315,16710142.540000001,847.8479892980802,2001-06-01
2001,SPP,7,16592049586.589163,20326329.038000003,816.2836267960822,2001-07-01
2001,SPP,8,16664117823.785177,19746300.076,843.9108977199753,2001-08-01
2001,SPP,9,13605121709.079895,15550851.776,874.8795181802841,2001-09-01
2001,SPP,10,12220632329.65855,14388237.738999998,849.3487910985756,2001-10-01
2001,SPP,11,11756262721.678726,13343369.842,881.056499286586,2001-11-01
2001,SPP,12,13346883146.262058,14972352.819000002,891.4352545396063,2001-12-01
2001,TRE,1,15417633916.202858,25336163.022,608.5228415532122,2001-01-01
2001,TRE,2,12793406728.801613,20906492.803000003,611.9346199935461,2001-02-01
2001,TRE,3,13903338211.95358,22157554.085,627.4762168521896,2001-03-01
2001,TRE,4,13476631620.995869,22071563.934,610.5879792340351,2001-04-01
2001,TRE,5,15639858092.86542,25785924.115000002,606.5269572311939,2001-05-01
2001,TRE,6,17245107855.722843,28345605.48,608.3873518909514,2001-06-01
2001,TRE,7,19948166889.04022,32642152.312000003,611.1167761969793,2001-07-01
2001,TRE,8,20035367381.278957,32316633.904000007,619.9707383137782,2001-08-01
2001,TRE,9,15890293332.007998,26549851.670999996,598.5078006806616,2001-09-01
2001,TRE,10,13677375747.405272,22795821.774000004,599.994853574664,2001-10-01
2001,TRE,11,12927115240.497765,21860824.854999997,591.3370298806946,2001-11-01
2001,TRE,12,14195390874.756971,22985778.204000004,617.5727769045765,2001-12-01
2001,WECC,1,29397421518.055187,56077945.427999996,524.2242969796271,2001-01-01
2001,WECC,2,26855864265.656296,49916313.00899997,538.0177871072759,2001-02-01
2001,WECC,3,26984620579.233444,53183553.91599999,507.38656205363634,2001-03-01
2001,WECC,4,25345630745.58999,49156100.16200001,515.6151660131769,2001-04-01
2001,WECC,5,27607419250.21607,53746031.09200001,513.6643337060358,2001-05-01
2001,WECC,6,27290452513.132896,54819143.412,497.82705118225124,2001-06-01
2001,WECC,7,30719439122.5999,58051332.41699999,529.1771582766271,2001-07-01
2001,WECC,8,30718536758.54821,59426226.57499998,516.9188509685922,2001-08-01
2001,WECC,9,27380928726.46095,51444582.03299999,532.241251545148,2001-09-01
2001,WECC,10,27496361014.573494,50710581.352,542.2213723741712,2001-10-01
2001,WECC,11,25840888039.568336,48839423.392000005,529.0989582772414,2001-11-01
2001,WECC,12,26961847752.65256,53516440.64100001,503.80495095924886,2001-12-01
2002,ASCC,1,290388648.7899999,554625.0820000002,523.576481148034,2002-01-01
2002,ASCC,2,253050361.14,476218.008,531.3750359898191,2002-02-01
2002,ASCC,3,276702323.26000005,501780.16000000003,551.441338892315,2002-03-01
2002,ASCC,4,238462111.62999997,456151.73699999996,522.7692723441279,2002-04-01
2002,ASCC,5,237972526.09000003,446327.813,533.1787962987644,2002-05-01
2002,ASCC,6,250106855.68999994,448650.869,557.464329106203,2002-06-01
2002,ASCC,7,249317409.33999997,444400.802,561.0192605818023,2002-07-01
2002,ASCC,8,239282635.69000012,419686.50399999996,570.1461290973515,2002-08-01
2002,ASCC,9,255364487.52999994,455044.37999999995,561.1858947252573,2002-09-01
2002,ASCC,10,269972701.84999996,489041.93600000005,552.0440722490513,2002-10-01
2002,ASCC,11,245589548.1900001,499460.64999999997,491.7095034213408,2002-11-01
2002,ASCC,12,282371553.28999996,553864.427,509.82070615992086,2002-12-01
2002,FRCC,1,9276460575.812721,14766631.342,628.2042505813863,2002-01-01
2002,FRCC,2,7587785975.09803,12551824.956,604.5165545007804,2002-02-01
2002,FRCC,3,8791359712.821825,14594865.294,602.359770763762,2002-03-01
2002,FRCC,4,9343374494.616316,15061730.647,620.3387056637699,2002-04-01
2002,FRCC,5,10964903003.060762,16969107.185999997,646.1685274819363,2002-05-01
2002,FRCC,6,10556779493.239977,17137272.902999997,616.0128016279615,2002-06-01
2002,FRCC,7,11975159184.012436,18590373.135999996,644.1591621860838,2002-07-01
2002,FRCC,8,12150762336.058744,19189292.087,633.2053460320411,2002-08-01
2002,FRCC,9,11654437121.976482,18539068.063,628.6420160049057,2002-09-01
2002,FRCC,10,10845274009.3214,17525071.647,618.8433478489048,2002-10-01
2002,FRCC,11,8142017800.625158,14152184.550999999,575.3187976940168,2002-11-01
2002,FRCC,12,8910340050.327562,14517603.453,613.7610852351997,2002-12-01
2002,HICC,1,739816944.2832001,935422.2570000001,790.8908931201538,2002-01-01
2002,HICC,2,658924089.778,836241.5849999998,787.9590080156084,2002-02-01
2002,HICC,3,737535648.6138,937254.947,786.9103822546161,2002-03-01
2002,HICC,4,753556349.7073,948139.7440000002,794.7735072555927,2002-04-01
2002,HICC,5,779226072.3017001,982512.9349999999,793.0949756928138,2002-05-01
2002,HICC,6,765962546.8269001,983655.6740000001,778.6897052218906,2002-06-01
2002,HICC,7,794808298.1566998,1029697.7890000001,771.8850197091175,2002-07-01
2002,HICC,8,818717073.2862,1057813.696,773.9709519569315,2002-08-01
2002,HICC,9,781327797.1838999,1004011.293,778.206184164803,2002-09-01
2002,HICC,10,792583229.1318998,1010664.7739999999,784.2197032305985,2002-10-01
2002,HICC,11,735204933.9629999,942161.323,780.3386914907353,2002-11-01
2002,HICC,12,744222845.9031,950509.0660000001,782.9729063342778,2002-12-01
2002,MRO,1,14436695564.896015,17269410.695000004,835.9692070486144,2002-01-01
2002,MRO,2,12902133078.710337,15387235.546999998,838.4958454233728,2002-02-01
2002,MRO,3,13537681718.200998,16535286.515,818.7146745791358,2002-03-01
2002,MRO,4,11634249370.287043,15012792.798999999,774.9557011845258,2002-04-01
2002,MRO,5,12205605833.671055,14873441.993999999,820.6308827906037,2002-05-01
2002,MRO,6,13689886039.731966,16830860.273000006,813.3800541195878,2002-06-01
2002,MRO,7,15965737821.910856,19114342.084000003,835.2753001776221,2002-07-01
2002,MRO,8,14963199274.941605,17972098.291000005,832.5794257665959,2002-08-01
2002,MRO,9,13279690135.479311,16273957.610000001,816.0086472954325,2002-09-01
2002,MRO,10,13326323210.042534,16562202.572999997,804.6226431119342,2002-10-01
2002,MRO,11,13896299711.676294,16559674.964999998,839.1650042073333,2002-11-01
2002,MRO,12,14999615038.087296,17672778.753999997,848.7411768617503,2002-12-01
2002,NPCC,1,8228351046.008586,22071108.112999998,372.81096190915963,2002-01-01
2002,NPCC,2,7010143140.859404,19177642.866,365.53726596336145,2002-02-01
2002,NPCC,3,7791080999.78571,20556707.008,379.0043316156462,2002-03-01
2002,NPCC,4,6984459458.987533,19081509.791000005,366.03285250949205,2002-04-01
2002,NPCC,5,7345862956.235046,20395143.59,360.17706488895806,2002-05-01
2002,NPCC,6,8500508899.614082,22285951.849,381.42902565750234,2002-06-01
2002,NPCC,7,10887498105.69499,25620329.529,424.9554282028763,2002-07-01
2002,NPCC,8,11035053123.121834,25439471.602000006,433.7768211449124,2002-08-01
2002,NPCC,9,9171040873.984589,21974500.012999993,417.3492397351044,2002-09-01
2002,NPCC,10,8730939153.479464,21106719.174,413.6568588184251,2002-10-01
2002,NPCC,11,8371126124.510124,20848741.185999997,401.5171011922468,2002-11-01
