nerc,year,month,ngcc,turbine,other,total,ngcc fraction,turbine fraction,other fraction,datetime
ASCC,2001,1,214.39999999999998,592.4,3.0,809.8,0.2647567300568041,0.7315386515188935,0.003704618424302297,2001-01-01
ASCC,2001,2,214.39999999999998,592.4,3.0,809.8,0.2647567300568041,0.7315386515188935,0.003704618424302297,2001-02-01
ASCC,2001,3,214.39999999999998,592.4,3.0,809.8,0.2647567300568041,0.7315386515188935,0.003704618424302297,2001-03-01
ASCC,2001,4,214.39999999999998,592.4,3.0,809.8,0.2647567300568041,0.7315386515188935,0.003704618424302297,2001-04-01
ASCC,2001,5,214.39999999999998,592.4,3.0,809.8,0.2647567300568041,0.7315386515188935,0.003704618424302297,2001-05-01
ASCC,2001,6,214.39999999999998,592.4,3.0,809.8,0.2647567300568041,0.7315386515188935,0.003704618424302297,2001-06-01
ASCC,2001,7,214.39999999999998,597.4,3.0,814.8,0.26313205694648995,0.733186057928326,0.0036818851251840946,2001-07-01
ASCC,2001,8,214.39999999999998,597.4,3.0,814.8,0.26313205694648995,0.733186057928326,0.0036818851251840946,2001-08-01
ASCC,2001,9,214.39999999999998,597.4,3.0,814.8,0.26313205694648995,0.733186057928326,0.0036818851251840946,2001-09-01
ASCC,2001,10,214.39999999999998,597.4,3.0,814.8,0.26313205694648995,0.733186057928326,0.0036818851251840946,2001-10-01
ASCC,2001,11,214.39999999999998,597.4,3.0,814.8,0.26313205694648995,0.733186057928326,0.0036818851251840946,2001-11-01
ASCC,2001,12,214.39999999999998,597.4,3.0,814.8,0.26313205694648995,0.733186057928326,0.0036818851251840946,2001-12-01
ASCC,2002,1,252.3,597.4,3.0,852.7,0.29588366365662017,0.7005981001524568,0.0035182361909229503,2002-01-01
ASCC,2002,2,252.3,597.4,3.0,852.7,0.29588366365662017,0.7005981001524568,0.0035182361909229503,2002-02-01
ASCC,2002,3,252.3,597.4,3.0,852.7,0.29588366365662017,0.7005981001524568,0.0035182361909229503,2002-03-01
ASCC,2002,4,252.3,597.4,3.0,852.7,0.29588366365662017,0.7005981001524568,0.0035182361909229503,2002-04-01
ASCC,2002,5,252.3,597.4,3.0,852.7,0.29588366365662017,0.7005981001524568,0.0035182361909229503,2002-05-01
ASCC,2002,6,252.3,597.4,3.0,852.7,0.29588366365662017,0.7005981001524568,0.0035182361909229503,2002-06-01
ASCC,2002,7,252.3,597.4,3.0,852.7,0.29588366365662017,0.7005981001524568,0.0035182361909229503,2002-07-01
ASCC,2002,8,252.3,597.4,3.0,852.7,0.29588366365662017,0.7005981001524568,0.0035182361909229503,2002-08-01
ASCC,2002,9,252.3,597.4,3.0,852.7,0.29588366365662017,0.7005981001524568,0.0035182361909229503,2002-09-01
ASCC,2002,10,252.3,597.4,3.0,852.7,0.29588366365662017,0.7005981001524568,0.0035182361909229503,2002-10-01
ASCC,2002,11,252.3,597.4,3.0,852.7,0.29588366365662017,0.7005981001524568,0.0035182361909229503,2002-11-01
ASCC,2002,12,252.3,597.4,3.0,852.7,0.29588366365662017,0.7005981001524568,0.0035182361909229503,2002-12-01
ASCC,2003,1,252.3,584.9000000000001,3.0,840.2,0.3002856462746965,0.6961437752915973,0.00357057843370626,2003-01-01
ASCC,2003,2,252.3,584.9000000000001,3.0,840.2,0.3002856462746965,0.6961437752915973,0.00357057843370626,2003-02-01
ASCC,2003,3,252.3,584.9000000000001,3.0,840.2,0.3002856462746965,0.6961437752915973,0.00357057843370626,2003-03-01
ASCC,2003,4,252.3,584.9000000000001,3.0,840.2,0.3002856462746965,0.6961437752915973,0.00357057843370626,2003-04-01
ASCC,2003,5,252.3,584.9000000000001,3.0,840.2,0.3002856462746965,0.6961437752915973,0.00357057843370626,2003-05-01
ASCC,2003,6,252.3,584.9000000000001,3.0,840.2,0.3002856462746965,0.6961437752915973,0.00357057843370626,2003-06-01
ASCC,2003,7,252.3,584.9000000000001,3.0,840.2,0.3002856462746965,0.6961437752915973,0.00357057843370626,2003-07-01
ASCC,2003,8,252.3,584.9000000000001,3.0,840.2,0.3002856462746965,0.6961437752915973,0.00357057843370626,2003-08-01
ASCC,2003,9,252.3,584.9000000000001,3.0,840.2,0.3002856462746965,0.6961437752915973,0.00357057843370626,2003-09-01
